Vardas                  Pavarde                 ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.    
Vardas99                Pavarde99               5       8       9       5       6       3       9       2       7       7       10      5       3       2       10      2       
Vardas100               Pavarde100              9       8       2       5       1       3       3       7       6       1       1       2       9       8       4       10      
Vardas101               Pavarde101              2       5       3       5       2       2       3       2       3       5       6       7       5       6       7       9       
Vardas102               Pavarde102              6       2       8       5       1       9       5       3       8       4       10      8       6       4       6       1       
Vardas103               Pavarde103              3       5       8       2       5       10      7       10      1       6       4       9       3       9       2       3       
Vardas104               Pavarde104              1       10      2       3       5       5       3       8       9       6       5       7       2       6       4       8       
Vardas105               Pavarde105              9       9       3       1       2       2       5       10      1       7       10      10      4       5       5       2       
Vardas106               Pavarde106              5       2       2       6       1       8       4       2       1       4       1       10      10      7       8       10      
Vardas107               Pavarde107              1       1       8       10      10      2       1       2       10      6       3       6       3       7       8       4       
Vardas108               Pavarde108              6       2       5       6       8       5       2       6       7       6       1       10      2       8       8       4       
Vardas109               Pavarde109              5       10      7       9       4       4       4       1       7       4       9       1       8       6       5       7       
Vardas110               Pavarde110              3       3       9       8       2       8       10      3       5       7       1       3       1       1       10      10      
Vardas111               Pavarde111              9       1       4       1       7       4       6       2       8       2       4       2       10      1       5       8       
Vardas112               Pavarde112              5       10      4       4       1       10      9       6       2       10      9       9       8       9       10      8       
Vardas113               Pavarde113              10      8       9       6       7       6       3       5       3       2       6       8       3       6       8       8       
Vardas114               Pavarde114              3       2       4       8       6       9       9       7       2       5       9       6       2       8       3       2       
Vardas115               Pavarde115              6       8       4       6       8       4       9       8       5       8       5       2       8       5       9       5       
Vardas116               Pavarde116              8       10      9       5       6       4       6       8       1       1       7       8       4       3       7       5       
Vardas117               Pavarde117              10      6       1       4       9       2       2       7       2       7       1       3       9       2       7       7       
Vardas118               Pavarde118              2       6       10      3       10      8       4       2       9       3       2       6       10      1       7       6       
Vardas119               Pavarde119              7       2       3       1       4       2       3       3       9       10      7       8       3       2       10      8       
Vardas120               Pavarde120              8       2       7       10      7       3       3       5       9       5       7       7       9       2       10      4       
Vardas121               Pavarde121              8       1       7       1       10      8       9       1       4       7       7       6       1       7       6       1       
Vardas122               Pavarde122              10      1       1       7       3       9       10      7       3       8       8       9       5       5       8       8       
Vardas123               Pavarde123              8       10      3       4       8       9       4       4       3       7       6       2       1       9       9       3       
Vardas124               Pavarde124              10      2       3       6       10      9       5       5       9       5       10      6       6       9       5       1       
Vardas125               Pavarde125              4       7       4       8       1       10      1       9       10      5       3       7       2       10      1       3       
Vardas126               Pavarde126              5       7       3       7       7       2       8       3       8       10      3       1       5       8       6       2       
Vardas127               Pavarde127              1       2       6       3       10      8       6       5       9       5       6       9       6       3       6       8       
Vardas128               Pavarde128              10      5       5       1       4       9       7       6       10      9       5       6       7       3       4       2       
Vardas129               Pavarde129              7       2       9       6       10      5       3       5       3       10      3       8       2       8       10      3       
Vardas130               Pavarde130              10      5       1       9       8       7       4       8       8       3       6       3       2       9       1       4       
Vardas131               Pavarde131              9       4       3       6       6       1       4       4       3       9       10      2       4       7       8       9       
Vardas132               Pavarde132              4       5       1       7       8       6       7       3       3       7       2       1       2       2       4       8       
Vardas133               Pavarde133              4       9       1       3       10      5       7       7       10      8       7       10      5       6       6       7       
Vardas134               Pavarde134              10      8       10      1       7       4       10      10      6       8       6       8       10      6       5       8       
Vardas135               Pavarde135              9       8       5       9       7       4       4       4       6       2       1       3       8       8       6       10      
Vardas136               Pavarde136              2       7       5       9       2       8       9       3       4       10      2       10      4       10      6       3       
Vardas137               Pavarde137              3       7       8       9       6       3       6       5       8       4       8       1       6       2       8       1       
Vardas138               Pavarde138              5       8       2       1       5       5       10      7       1       9       7       6       5       3       3       1       
Vardas139               Pavarde139              5       6       10      1       2       9       9       1       5       6       5       6       8       5       2       9       
Vardas140               Pavarde140              7       4       8       9       9       4       10      4       10      9       4       1       5       4       8       8       
Vardas141               Pavarde141              2       6       10      9       2       6       8       6       4       5       4       6       5       3       6       1       
Vardas142               Pavarde142              7       5       1       9       8       5       9       4       10      6       1       9       8       4       3       3       
Vardas143               Pavarde143              6       10      2       8       7       10      4       10      10      5       6       4       6       8       10      1       
Vardas144               Pavarde144              10      10      5       3       4       2       7       10      4       10      8       4       3       7       2       6       
Vardas145               Pavarde145              8       6       2       8       4       8       3       6       1       6       2       4       9       1       9       9       
Vardas146               Pavarde146              5       4       6       7       4       5       8       4       2       7       3       10      3       1       10      2       
Vardas147               Pavarde147              10      7       3       1       3       9       7       8       10      6       8       2       9       3       5       2       
Vardas148               Pavarde148              5       1       4       5       1       6       4       10      2       9       8       1       6       5       3       7       
Vardas149               Pavarde149              4       2       4       6       7       9       6       5       9       4       7       3       5       8       1       3       
Vardas150               Pavarde150              6       4       7       10      10      5       3       1       2       6       10      2       8       6       2       3       
Vardas151               Pavarde151              3       5       7       2       2       2       8       7       3       10      1       1       10      3       8       9       
Vardas152               Pavarde152              1       9       10      7       2       4       9       9       8       9       8       8       10      4       6       7       
Vardas153               Pavarde153              2       8       7       6       4       7       4       2       2       6       6       7       1       7       10      10      
Vardas154               Pavarde154              2       9       3       2       9       9       5       10      9       3       2       3       4       2       3       3       
Vardas155               Pavarde155              2       2       2       5       6       10      6       7       7       9       5       2       7       4       1       6       
Vardas156               Pavarde156              1       3       3       3       9       4       9       5       9       5       3       7       9       9       3       5       
Vardas157               Pavarde157              4       10      3       8       9       9       7       4       7       8       6       5       5       9       7       1       
Vardas158               Pavarde158              1       7       5       3       8       2       3       4       1       5       5       1       6       1       5       10      
Vardas159               Pavarde159              10      9       4       2       9       6       3       9       4       1       7       6       3       7       8       1       
Vardas160               Pavarde160              7       10      7       8       9       6       9       4       7       4       2       5       2       5       8       5       
Vardas161               Pavarde161              6       8       7       8       10      10      1       7       1       5       2       7       6       4       3       2       
Vardas162               Pavarde162              2       5       9       8       2       9       3       7       5       10      8       3       8       10      8       5       
Vardas163               Pavarde163              6       9       8       5       9       6       5       4       8       5       9       6       7       9       2       10      
Vardas164               Pavarde164              3       2       2       7       5       1       1       3       10      9       3       4       5       8       8       7       
Vardas165               Pavarde165              9       8       4       3       10      4       2       2       10      3       3       8       9       2       9       3       
Vardas166               Pavarde166              6       10      7       10      2       8       5       5       5       3       8       2       4       5       6       10      
Vardas167               Pavarde167              10      4       1       8       4       1       8       2       1       10      7       6       9       2       8       7       
Vardas168               Pavarde168              5       8       2       10      5       7       9       9       2       7       9       10      7       10      6       7       
Vardas169               Pavarde169              8       6       1       6       3       2       8       4       8       1       1       5       4       10      5       1       
Vardas170               Pavarde170              1       8       10      1       7       9       7       1       5       5       3       2       7       6       10      1       
Vardas171               Pavarde171              4       9       7       2       9       5       6       9       2       4       10      9       9       10      4       2       
Vardas172               Pavarde172              2       5       7       3       2       6       2       8       5       9       1       6       9       2       6       5       
Vardas173               Pavarde173              4       9       9       1       4       5       9       5       4       1       8       9       9       5       1       7       
Vardas174               Pavarde174              7       7       5       4       7       5       10      7       10      10      9       3       4       9       10      9       
Vardas175               Pavarde175              8       6       3       1       4       2       3       4       9       5       1       7       9       10      8       6       
Vardas176               Pavarde176              1       5       2       3       1       5       3       7       1       5       5       1       3       5       3       5       
Vardas177               Pavarde177              3       2       5       6       10      1       8       7       2       3       5       1       1       9       5       7       
Vardas178               Pavarde178              3       2       10      5       6       6       9       1       5       10      5       6       7       2       1       7       
Vardas179               Pavarde179              3       9       5       6       5       5       4       10      8       4       4       6       8       2       1       9       
Vardas180               Pavarde180              8       6       5       6       10      5       10      2       7       6       3       3       3       5       9       6       
Vardas181               Pavarde181              3       7       7       4       2       4       7       2       3       1       4       2       1       5       4       1       
Vardas182               Pavarde182              8       2       9       2       3       9       6       5       10      6       10      8       10      3       2       1       
Vardas183               Pavarde183              10      9       7       2       9       9       5       1       4       6       10      5       7       10      7       4       
Vardas184               Pavarde184              10      6       2       5       9       6       5       9       5       10      5       3       6       6       10      3       
Vardas185               Pavarde185              3       4       6       4       7       3       8       5       6       3       6       3       9       5       1       8       
Vardas186               Pavarde186              4       3       9       3       9       1       8       3       3       2       10      5       6       9       5       1       
Vardas187               Pavarde187              9       1       6       9       5       4       1       5       8       5       7       3       4       2       6       1       
Vardas188               Pavarde188              4       8       2       7       7       7       3       7       4       7       4       8       6       7       3       6       
Vardas189               Pavarde189              3       8       7       4       8       10      4       9       5       1       2       4       1       7       4       5       
Vardas190               Pavarde190              7       1       1       8       6       6       2       9       9       10      1       1       4       10      2       1       
Vardas191               Pavarde191              10      8       1       3       7       6       5       7       6       5       7       4       4       8       4       10      
Vardas192               Pavarde192              6       7       10      10      10      6       1       3       5       8       7       10      7       1       7       1       
Vardas193               Pavarde193              8       3       8       6       4       3       8       6       8       8       4       5       10      7       8       2       
Vardas194               Pavarde194              8       3       3       1       4       4       10      10      9       2       6       1       2       3       5       3       
Vardas195               Pavarde195              4       1       2       10      6       6       3       1       3       7       5       4       4       6       3       5       
Vardas196               Pavarde196              2       5       4       4       8       5       1       9       8       4       6       7       7       2       8       7       
Vardas197               Pavarde197              9       6       9       1       3       10      8       1       10      4       2       1       7       3       5       5       
Vardas198               Pavarde198              6       8       5       1       4       2       8       6       5       2       6       2       7       4       7       5       
Vardas199               Pavarde199              4       7       7       1       4       1       9       4       10      8       2       4       3       7       7       4       
Vardas200               Pavarde200              4       3       3       8       1       4       3       7       9       3       10      9       8       8       2       8       
Vardas201               Pavarde201              10      10      1       8       5       3       4       2       10      7       1       6       8       9       5       7       
Vardas202               Pavarde202              1       8       6       2       9       9       6       6       1       10      5       10      3       1       9       2       
Vardas203               Pavarde203              8       5       3       3       3       1       10      1       1       10      7       7       6       5       7       1       
Vardas204               Pavarde204              3       6       10      9       3       1       2       10      4       5       10      7       4       2       2       5       
Vardas205               Pavarde205              3       3       6       5       3       10      3       7       8       4       8       7       9       4       9       1       
Vardas206               Pavarde206              1       8       7       2       7       7       1       9       10      1       5       5       4       4       9       4       
Vardas207               Pavarde207              7       9       7       10      7       10      8       6       10      7       8       7       8       5       8       3       
Vardas208               Pavarde208              10      6       5       9       10      6       4       7       10      1       4       8       4       1       1       3       
Vardas209               Pavarde209              3       9       6       6       1       8       8       8       10      2       7       1       3       2       8       1       
Vardas210               Pavarde210              7       4       6       6       1       8       4       3       3       3       9       8       3       9       6       1       
Vardas211               Pavarde211              1       6       1       5       6       3       4       5       1       2       3       7       3       2       10      4       
Vardas212               Pavarde212              7       1       4       4       1       10      4       4       8       2       6       2       2       9       5       10      
Vardas213               Pavarde213              2       7       1       8       6       9       1       3       1       5       8       10      3       1       3       1       
Vardas214               Pavarde214              8       2       5       3       9       5       1       10      4       5       10      4       7       4       5       6       
Vardas215               Pavarde215              4       2       3       1       6       3       3       4       9       9       4       9       2       6       9       7       
Vardas216               Pavarde216              9       3       3       3       2       9       1       7       6       4       2       10      7       10      8       10      
Vardas217               Pavarde217              5       8       7       4       1       2       9       2       8       2       5       4       9       8       4       2       
Vardas218               Pavarde218              4       3       1       5       5       10      5       5       3       4       10      3       4       6       2       6       
Vardas219               Pavarde219              3       5       8       10      4       2       8       1       7       5       6       9       1       5       6       6       
Vardas220               Pavarde220              5       7       1       6       8       7       9       4       9       2       5       10      2       3       5       8       
Vardas221               Pavarde221              3       2       10      10      8       2       6       4       9       8       7       3       7       8       9       3       
Vardas222               Pavarde222              3       10      2       5       10      6       8       10      5       6       1       7       6       5       7       1       
Vardas223               Pavarde223              1       8       3       4       8       4       10      4       9       9       4       8       7       2       7       9       
Vardas224               Pavarde224              5       6       5       4       7       1       4       9       10      2       4       10      7       9       7       2       
Vardas225               Pavarde225              9       9       3       10      7       7       4       1       6       7       7       10      8       9       2       2       
Vardas226               Pavarde226              4       1       3       9       3       2       4       5       3       1       8       7       3       8       3       10      
Vardas227               Pavarde227              7       4       4       5       4       2       4       7       8       5       8       1       2       10      1       4       
Vardas228               Pavarde228              5       8       1       2       9       2       3       2       5       4       1       4       6       8       2       6       
Vardas229               Pavarde229              8       9       10      1       1       9       6       9       10      7       6       6       9       7       2       5       
Vardas230               Pavarde230              8       2       9       5       6       5       9       8       7       4       2       8       9       1       8       3       
Vardas231               Pavarde231              10      3       6       8       9       3       7       1       6       9       6       1       2       5       5       3       
Vardas232               Pavarde232              5       2       6       9       4       6       3       6       8       1       3       8       10      10      2       6       
Vardas233               Pavarde233              3       5       6       6       3       6       3       9       4       4       4       10      4       7       8       5       
Vardas234               Pavarde234              5       2       1       10      1       2       3       5       10      3       5       8       8       2       8       2       
Vardas235               Pavarde235              5       2       3       4       2       3       3       1       1       3       1       7       7       9       9       6       
Vardas236               Pavarde236              8       7       6       6       6       10      6       1       6       2       3       2       9       6       4       8       
Vardas237               Pavarde237              7       6       10      4       7       3       9       4       6       5       3       2       7       8       4       7       
Vardas238               Pavarde238              1       4       10      7       7       8       4       2       6       6       1       3       5       1       3       4       
Vardas239               Pavarde239              1       9       3       8       7       5       6       3       4       5       6       8       5       4       5       6       
Vardas240               Pavarde240              3       5       1       2       9       6       2       1       3       3       9       5       7       5       7       10      
Vardas241               Pavarde241              10      5       8       4       1       7       4       8       10      5       6       2       9       4       9       9       
Vardas242               Pavarde242              9       10      3       7       7       6       1       2       5       1       3       4       2       2       5       2       
Vardas243               Pavarde243              8       4       1       6       7       1       1       5       10      1       5       3       8       1       10      9       
Vardas244               Pavarde244              6       10      9       4       6       8       8       7       5       8       3       9       4       7       2       9       
Vardas245               Pavarde245              8       8       4       9       8       2       4       2       5       10      1       7       4       6       1       3       
Vardas246               Pavarde246              8       2       3       2       9       6       2       7       4       2       2       9       5       9       6       3       
Vardas247               Pavarde247              7       5       4       10      2       5       2       8       2       1       1       8       7       7       5       4       
Vardas248               Pavarde248              6       9       10      2       9       4       7       10      6       6       3       1       10      4       6       2       
Vardas249               Pavarde249              6       9       9       4       2       9       7       10      5       9       5       9       7       4       2       6       
Vardas250               Pavarde250              4       1       4       2       7       10      6       6       2       1       2       7       9       3       7       4       
Vardas251               Pavarde251              8       8       6       3       4       4       8       1       4       6       10      4       10      1       2       3       
Vardas252               Pavarde252              6       2       10      4       5       6       4       10      10      8       4       1       1       5       10      5       
