Vardas                  Pavarde                 ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.    
Vardas35                Pavarde35               9       2       3       9       3       1       10      1       5       7       4       10      1       1       8       5       
Vardas36                Pavarde36               9       7       4       6       1       2       2       9       4       9       9       3       10      4       1       7       
Vardas37                Pavarde37               1       5       9       5       1       5       2       7       5       10      2       9       6       8       2       2       
Vardas38                Pavarde38               4       2       3       10      5       8       4       8       6       3       8       5       1       2       9       8       
Vardas39                Pavarde39               8       5       1       6       8       3       3       3       10      2       3       7       7       2       1       5       
Vardas40                Pavarde40               7       1       2       8       4       9       9       10      2       7       2       8       6       9       7       3       
Vardas41                Pavarde41               6       1       10      8       1       10      7       7       5       4       8       3       3       6       5       2       
Vardas42                Pavarde42               7       2       5       8       8       10      3       1       3       9       8       5       10      3       1       10      
Vardas43                Pavarde43               6       1       6       7       4       6       9       2       7       5       3       7       3       1       7       7       
Vardas44                Pavarde44               1       3       4       9       9       8       4       5       10      8       2       1       4       6       9       1       
Vardas45                Pavarde45               3       9       5       8       2       3       4       8       10      1       7       7       1       5       3       6       
Vardas46                Pavarde46               8       5       5       9       8       5       3       2       8       5       4       7       7       9       1       3       
Vardas47                Pavarde47               10      10      3       10      4       6       2       9       5       9       7       2       2       10      1       10      
Vardas48                Pavarde48               8       9       8       7       5       3       10      6       8       2       7       6       4       3       9       7       
Vardas49                Pavarde49               8       3       8       9       4       3       10      10      9       2       1       2       10      5       5       8       
Vardas50                Pavarde50               10      9       6       5       9       3       9       4       5       6       10      5       2       7       5       7       
Vardas51                Pavarde51               6       7       1       1       1       2       10      2       7       8       4       7       6       5       10      4       
Vardas52                Pavarde52               6       1       2       3       5       10      9       1       1       8       9       5       4       2       5       9       
Vardas53                Pavarde53               5       6       8       8       7       1       6       9       6       8       10      7       8       5       4       6       
Vardas54                Pavarde54               5       10      8       6       2       9       4       9       1       8       1       2       5       4       3       9       
Vardas55                Pavarde55               5       8       6       1       9       3       10      1       1       4       8       1       9       9       8       7       
Vardas56                Pavarde56               5       6       7       2       5       1       6       4       10      4       2       4       10      1       2       4       
Vardas57                Pavarde57               1       5       8       3       7       7       10      4       5       7       2       2       6       9       1       9       
Vardas58                Pavarde58               4       3       1       5       2       10      7       3       1       1       10      9       1       4       6       10      
Vardas59                Pavarde59               9       5       8       10      6       3       10      8       2       2       8       8       2       3       9       6       
Vardas60                Pavarde60               4       3       10      2       2       10      4       4       5       2       7       6       5       10      8       5       
Vardas61                Pavarde61               8       4       4       4       3       1       10      9       9       3       8       5       2       7       2       5       
Vardas62                Pavarde62               6       7       10      8       9       10      1       9       5       10      3       3       7       9       9       6       
Vardas63                Pavarde63               2       2       4       1       9       5       3       9       4       5       4       1       8       1       8       4       
Vardas64                Pavarde64               10      7       1       3       9       3       2       3       10      10      4       4       2       8       8       4       
Vardas65                Pavarde65               2       7       10      5       5       4       9       6       10      5       2       9       9       1       3       2       
Vardas66                Pavarde66               5       4       3       3       9       9       4       8       1       2       4       2       3       4       2       1       
Vardas67                Pavarde67               5       7       1       9       1       2       10      8       3       3       8       3       10      9       9       7       
Vardas68                Pavarde68               6       5       9       2       9       9       9       2       5       6       9       2       5       5       7       3       
Vardas69                Pavarde69               1       3       2       8       8       7       4       7       4       4       9       5       4       9       2       7       
Vardas70                Pavarde70               9       5       3       4       1       10      9       6       2       1       10      2       5       5       6       1       
Vardas71                Pavarde71               1       8       7       10      7       4       5       2       8       3       1       6       5       9       9       3       
Vardas72                Pavarde72               6       6       10      10      3       8       2       1       5       2       1       2       7       1       3       1       
Vardas73                Pavarde73               5       3       5       9       1       6       3       2       3       10      8       9       7       3       10      1       
Vardas74                Pavarde74               4       10      1       3       2       4       2       7       3       9       10      5       10      3       5       7       
Vardas75                Pavarde75               4       2       10      2       7       9       6       1       10      5       10      2       10      1       3       3       
Vardas76                Pavarde76               10      9       10      1       2       1       8       2       7       5       5       3       3       5       2       3       
Vardas77                Pavarde77               4       4       4       3       6       7       9       9       7       5       5       5       8       4       10      6       
Vardas78                Pavarde78               8       3       9       4       2       5       9       4       8       9       4       6       1       9       3       6       
Vardas79                Pavarde79               4       7       7       2       3       1       9       5       7       5       3       4       6       3       3       6       
Vardas80                Pavarde80               8       2       10      8       4       3       9       7       9       5       9       5       5       8       9       10      
Vardas81                Pavarde81               9       7       3       4       7       7       6       5       4       6       4       1       8       4       10      7       
Vardas82                Pavarde82               1       4       7       4       5       10      5       8       1       10      2       4       6       4       4       9       
Vardas83                Pavarde83               6       8       7       7       9       5       1       7       3       2       4       4       7       7       5       4       
Vardas84                Pavarde84               9       3       3       3       4       6       7       6       8       3       10      3       5       8       1       1       
Vardas85                Pavarde85               8       3       3       7       1       7       6       4       3       7       6       7       4       4       8       7       
Vardas86                Pavarde86               9       3       8       5       4       3       7       7       7       6       3       7       1       7       8       4       
Vardas87                Pavarde87               9       8       6       3       10      2       9       10      8       3       8       4       2       6       8       7       
Vardas88                Pavarde88               10      1       8       10      6       6       7       9       9       5       5       2       9       6       2       3       
Vardas89                Pavarde89               4       1       1       2       4       5       10      9       1       9       7       5       10      3       3       6       
Vardas90                Pavarde90               7       2       2       10      10      4       9       9       1       7       7       3       1       9       3       1       
Vardas91                Pavarde91               9       9       4       6       1       2       9       10      2       9       4       2       5       3       8       6       
Vardas92                Pavarde92               1       7       2       4       5       6       10      9       2       3       7       2       10      10      2       1       
Vardas93                Pavarde93               2       1       7       1       4       5       5       1       8       1       7       3       10      1       10      8       
Vardas94                Pavarde94               4       2       2       6       9       6       8       3       5       6       5       9       3       5       10      9       
Vardas95                Pavarde95               8       1       6       7       2       4       8       3       5       3       2       4       8       2       9       8       
Vardas96                Pavarde96               1       7       6       6       7       2       8       4       1       7       3       1       1       2       4       1       
Vardas97                Pavarde97               8       4       5       3       7       6       9       4       6       10      4       4       7       4       7       7       
Vardas98                Pavarde98               4       5       9       7       9       10      7       10      7       6       4       8       1       5       5       6       
Vardas99                Pavarde99               7       9       1       1       1       7       5       2       10      10      4       6       4       6       1       9       
Vardas100               Pavarde100              8       1       7       1       8       5       9       1       2       3       10      10      5       8       5       6       
Vardas101               Pavarde101              8       8       1       5       9       9       6       8       4       5       6       3       1       6       3       6       
Vardas102               Pavarde102              3       2       4       1       9       9       3       4       8       7       4       10      4       1       1       3       
Vardas103               Pavarde103              1       5       5       2       1       3       4       4       5       1       3       9       4       9       10      5       
Vardas104               Pavarde104              10      8       7       10      4       2       10      4       6       1       10      4       6       2       1       2       
Vardas105               Pavarde105              2       5       8       10      6       9       1       8       8       9       9       4       2       4       2       8       
Vardas106               Pavarde106              8       3       8       1       8       2       1       7       5       1       5       8       6       6       8       9       
Vardas107               Pavarde107              1       1       8       10      7       6       1       1       2       8       6       5       10      3       2       9       
Vardas108               Pavarde108              9       5       1       8       7       4       9       7       8       4       8       9       8       10      8       5       
Vardas109               Pavarde109              3       4       3       4       7       5       5       5       9       7       6       6       8       3       4       5       
Vardas110               Pavarde110              6       8       2       5       8       2       8       6       10      1       7       10      1       3       4       2       
Vardas111               Pavarde111              6       1       9       4       9       8       5       2       10      8       7       1       5       3       10      9       
Vardas112               Pavarde112              9       10      1       6       7       6       5       4       2       6       4       3       4       3       2       6       
Vardas113               Pavarde113              10      6       10      9       6       10      4       9       2       7       3       1       9       2       6       10      
Vardas114               Pavarde114              3       4       1       7       5       8       6       10      9       8       2       2       10      2       3       10      
Vardas115               Pavarde115              5       5       1       7       7       4       2       5       4       1       3       3       1       2       8       10      
Vardas116               Pavarde116              4       5       3       2       5       3       3       1       1       2       3       7       6       1       1       6       
Vardas117               Pavarde117              2       9       8       3       2       7       4       6       7       1       9       5       5       3       5       5       
Vardas118               Pavarde118              3       6       3       5       10      8       6       7       5       4       2       2       6       5       3       5       
Vardas119               Pavarde119              5       5       6       7       10      5       8       10      8       1       8       9       10      2       3       5       
Vardas120               Pavarde120              7       7       8       3       9       10      5       2       5       6       1       9       9       4       7       7       
Vardas121               Pavarde121              9       3       8       7       10      6       6       7       10      10      9       3       7       2       9       4       
Vardas122               Pavarde122              7       9       8       1       3       5       6       5       7       9       5       4       3       7       4       4       
Vardas123               Pavarde123              4       8       8       10      7       3       3       1       1       1       2       1       6       7       10      1       
Vardas124               Pavarde124              2       4       7       7       3       9       7       6       6       2       6       8       7       9       2       1       
Vardas125               Pavarde125              9       1       6       8       8       9       7       2       2       2       5       10      4       8       4       2       
Vardas126               Pavarde126              5       1       3       7       3       7       10      5       1       8       6       6       1       6       5       8       
Vardas127               Pavarde127              9       10      8       7       6       3       9       2       3       6       6       7       7       2       3       5       
Vardas128               Pavarde128              5       9       4       4       4       4       8       7       8       6       8       1       2       1       7       9       
Vardas129               Pavarde129              7       10      6       10      10      3       1       7       1       10      3       10      4       5       10      8       
Vardas130               Pavarde130              10      6       2       10      9       10      7       4       9       2       6       3       3       9       2       5       
Vardas131               Pavarde131              8       10      1       1       8       3       6       7       6       4       9       7       9       10      6       10      
Vardas132               Pavarde132              5       3       2       1       5       8       3       4       1       8       7       9       8       2       1       4       
Vardas133               Pavarde133              9       8       6       6       5       1       10      4       1       5       4       1       9       10      9       9       
Vardas134               Pavarde134              1       2       4       4       5       3       6       10      2       1       1       1       6       5       8       4       
Vardas135               Pavarde135              7       5       7       2       9       3       7       3       1       4       3       6       3       3       6       3       
Vardas136               Pavarde136              3       10      7       7       4       9       4       7       7       6       9       1       1       9       8       4       
Vardas137               Pavarde137              8       2       9       1       7       1       10      9       6       3       4       6       8       5       5       3       
Vardas138               Pavarde138              2       6       6       10      3       9       9       1       7       7       7       8       8       8       7       6       
Vardas139               Pavarde139              5       3       2       2       1       9       4       4       7       4       10      2       1       3       6       8       
Vardas140               Pavarde140              5       8       9       8       4       6       5       10      9       5       3       6       9       8       6       5       
Vardas141               Pavarde141              2       4       2       1       7       5       5       4       10      2       3       2       9       10      1       8       
Vardas142               Pavarde142              3       3       10      5       6       6       7       8       4       5       9       1       9       6       3       7       
Vardas143               Pavarde143              9       10      5       6       3       9       10      4       6       2       1       4       5       7       2       1       
Vardas144               Pavarde144              10      6       9       6       2       8       9       3       7       7       1       1       1       9       8       6       
Vardas145               Pavarde145              1       10      9       8       6       2       9       4       3       5       7       9       5       1       5       2       
Vardas146               Pavarde146              5       7       8       5       7       3       9       8       9       2       8       3       2       6       10      9       
Vardas147               Pavarde147              5       3       1       3       4       1       5       8       6       6       3       9       10      8       6       9       
Vardas148               Pavarde148              8       9       4       6       2       5       8       6       6       5       7       4       5       10      7       2       
Vardas149               Pavarde149              5       5       7       10      3       5       6       6       2       9       6       9       1       2       5       2       
Vardas150               Pavarde150              9       9       1       4       10      2       6       9       9       4       2       4       10      9       8       1       
Vardas151               Pavarde151              5       2       2       3       10      2       1       1       5       2       1       5       3       6       8       5       
Vardas152               Pavarde152              7       1       1       9       10      3       5       1       4       8       2       9       10      5       9       9       
Vardas153               Pavarde153              6       4       7       8       7       10      3       6       7       10      8       1       3       9       10      9       
Vardas154               Pavarde154              7       9       2       1       5       3       9       1       7       1       3       9       7       5       5       9       
Vardas155               Pavarde155              2       1       2       4       3       2       8       7       3       2       4       6       10      7       9       5       
Vardas156               Pavarde156              7       8       4       9       10      5       5       7       5       8       9       9       4       10      10      6       
Vardas157               Pavarde157              10      3       9       7       3       1       7       4       3       10      2       6       5       9       3       7       
Vardas158               Pavarde158              1       1       9       8       7       9       9       1       5       4       8       2       1       6       2       5       
Vardas159               Pavarde159              5       2       10      3       3       6       2       3       10      3       3       4       4       4       6       5       
Vardas160               Pavarde160              4       9       5       9       1       5       7       8       3       7       8       7       7       6       9       7       
Vardas161               Pavarde161              2       4       3       3       5       5       2       7       1       10      2       4       10      6       6       7       
Vardas162               Pavarde162              10      5       6       4       9       1       4       10      1       8       10      3       9       9       3       9       
Vardas163               Pavarde163              2       9       3       3       6       4       1       1       9       1       7       6       3       2       2       10      
Vardas164               Pavarde164              10      3       10      3       2       9       10      3       6       1       4       9       7       9       7       8       
Vardas165               Pavarde165              8       6       9       1       4       5       5       9       9       10      5       3       5       9       3       3       
Vardas166               Pavarde166              7       9       5       4       3       1       7       4       6       1       5       8       4       1       2       5       
Vardas167               Pavarde167              9       10      1       8       4       10      10      7       8       4       2       9       1       9       3       9       
Vardas168               Pavarde168              2       8       2       3       5       9       1       5       8       7       5       7       10      5       6       10      
Vardas169               Pavarde169              1       10      10      1       3       9       2       1       3       2       10      6       4       9       5       7       
Vardas170               Pavarde170              4       9       5       9       9       9       8       1       9       5       5       9       6       6       4       9       
Vardas171               Pavarde171              7       2       8       8       4       8       5       6       1       3       3       9       3       5       3       8       
Vardas172               Pavarde172              10      2       6       4       3       9       7       2       10      6       7       6       8       1       6       6       
Vardas173               Pavarde173              8       3       1       3       2       1       9       8       4       6       3       10      3       8       5       7       
Vardas174               Pavarde174              9       4       9       2       8       1       7       2       8       7       5       8       5       4       10      6       
Vardas175               Pavarde175              1       5       5       6       6       10      5       5       5       3       4       7       10      9       9       3       
Vardas176               Pavarde176              10      6       6       7       10      5       8       8       6       4       10      6       6       4       10      2       
Vardas177               Pavarde177              3       8       8       9       1       6       9       10      7       10      4       9       3       6       5       7       
Vardas178               Pavarde178              7       4       10      4       3       1       5       6       3       2       1       8       4       2       6       6       
Vardas179               Pavarde179              7       4       9       3       8       8       7       2       3       4       3       6       3       8       1       3       
Vardas180               Pavarde180              5       7       2       8       2       6       10      1       5       2       6       8       4       6       5       8       
Vardas181               Pavarde181              10      4       6       5       5       9       5       1       2       8       9       9       2       3       8       7       
Vardas182               Pavarde182              6       2       6       6       4       7       1       7       7       6       10      5       4       6       3       10      
Vardas183               Pavarde183              5       8       6       1       1       5       5       1       5       5       5       8       2       10      2       6       
Vardas184               Pavarde184              8       3       3       7       5       4       2       6       9       1       9       1       1       10      7       9       
Vardas185               Pavarde185              6       2       10      1       4       6       3       2       9       9       3       5       2       2       2       8       
Vardas186               Pavarde186              10      8       9       4       1       8       7       7       3       9       1       7       3       4       8       5       
Vardas187               Pavarde187              2       1       4       4       2       3       7       10      1       10      9       7       3       4       9       5       
Vardas188               Pavarde188              5       4       10      10      3       6       3       2       2       7       8       9       6       7       4       2       
Vardas189               Pavarde189              5       10      6       8       1       1       7       3       1       4       5       2       3       2       7       2       
Vardas190               Pavarde190              1       4       4       4       7       6       4       5       5       6       2       1       5       4       1       9       
Vardas191               Pavarde191              5       5       2       1       3       7       9       5       2       1       5       6       6       8       10      1       
Vardas192               Pavarde192              9       1       9       9       4       9       9       7       6       2       7       6       5       4       1       3       
Vardas193               Pavarde193              3       9       6       4       5       3       2       10      10      1       4       2       3       8       10      1       
Vardas194               Pavarde194              5       2       7       5       5       9       10      10      1       4       7       2       9       10      8       4       
Vardas195               Pavarde195              2       5       7       4       10      7       2       2       1       5       1       5       6       2       9       2       
Vardas196               Pavarde196              1       9       3       8       9       7       10      8       1       4       9       9       10      8       3       8       
Vardas197               Pavarde197              4       9       10      8       9       1       9       7       4       6       4       5       2       4       6       10      
Vardas198               Pavarde198              10      2       5       7       9       6       7       6       10      9       1       6       8       4       1       7       
Vardas199               Pavarde199              10      9       7       10      4       9       7       6       4       9       6       6       2       1       3       8       
Vardas200               Pavarde200              9       8       4       8       8       2       3       2       1       2       2       7       5       10      6       6       
Vardas201               Pavarde201              2       10      9       2       6       7       6       10      1       4       9       4       1       6       3       2       
Vardas202               Pavarde202              1       4       7       1       9       2       7       7       1       7       7       10      10      7       7       8       
Vardas203               Pavarde203              7       3       10      6       2       3       5       1       6       4       3       7       8       8       4       2       
Vardas204               Pavarde204              3       4       8       5       4       1       4       1       3       9       4       8       3       8       8       2       
Vardas205               Pavarde205              5       9       10      2       3       9       5       7       7       9       4       4       9       1       1       9       
Vardas206               Pavarde206              5       1       3       8       10      1       8       8       6       9       9       10      9       4       5       7       
Vardas207               Pavarde207              1       9       3       4       6       3       10      1       5       3       6       6       7       7       10      3       
Vardas208               Pavarde208              1       2       1       9       1       7       4       5       7       7       10      2       9       1       4       5       
Vardas209               Pavarde209              4       3       7       2       7       10      3       7       4       2       7       9       4       5       4       4       
Vardas210               Pavarde210              8       5       5       10      3       3       2       8       1       8       5       2       4       3       1       2       
Vardas211               Pavarde211              7       7       3       8       2       1       10      3       3       9       5       7       7       10      5       3       
Vardas212               Pavarde212              2       5       1       7       7       2       10      8       8       3       9       8       3       1       1       6       
Vardas213               Pavarde213              7       4       9       8       6       9       9       5       5       2       1       7       8       5       2       10      
Vardas214               Pavarde214              6       4       6       5       4       3       10      7       9       2       8       6       8       8       8       3       
Vardas215               Pavarde215              8       1       8       8       1       2       10      10      10      7       1       3       6       2       1       8       
Vardas216               Pavarde216              3       5       8       10      6       4       10      7       10      2       10      2       4       6       1       8       
Vardas217               Pavarde217              9       6       7       10      4       6       3       7       4       7       7       1       10      3       1       9       
Vardas218               Pavarde218              8       3       5       5       3       8       10      3       5       7       9       2       10      4       3       10      
Vardas219               Pavarde219              4       6       6       10      2       4       10      8       6       7       5       6       1       4       6       5       
Vardas220               Pavarde220              6       6       1       2       2       1       2       7       5       6       3       6       9       5       6       4       
Vardas221               Pavarde221              5       10      7       7       10      1       5       5       4       3       9       6       8       9       6       7       
Vardas222               Pavarde222              5       9       6       1       5       4       4       5       3       2       8       2       1       8       2       8       
Vardas223               Pavarde223              9       10      6       2       5       6       3       2       3       4       9       7       9       4       3       7       
Vardas224               Pavarde224              8       3       8       3       5       4       3       6       7       9       2       10      6       1       9       2       
Vardas225               Pavarde225              9       3       5       1       8       5       2       2       8       5       3       6       5       7       9       2       
Vardas226               Pavarde226              7       8       9       4       10      8       3       10      7       2       7       7       2       6       7       1       
Vardas227               Pavarde227              6       8       3       8       7       4       9       2       2       10      2       10      9       8       8       2       
Vardas228               Pavarde228              7       10      9       4       6       10      2       9       4       5       1       8       7       8       9       7       
Vardas229               Pavarde229              5       7       8       8       9       9       5       6       10      9       7       2       8       3       4       1       
Vardas230               Pavarde230              10      7       7       5       5       4       6       8       4       3       1       9       6       8       6       6       
Vardas231               Pavarde231              8       3       7       7       8       8       2       10      9       1       6       9       2       7       8       4       
Vardas232               Pavarde232              3       10      3       10      1       10      9       1       2       3       9       4       6       3       6       7       
Vardas233               Pavarde233              9       10      6       1       4       1       4       8       8       2       10      10      9       3       2       5       
Vardas234               Pavarde234              9       1       8       4       7       4       7       5       5       4       3       10      1       7       4       2       
Vardas235               Pavarde235              5       5       4       6       6       4       2       7       2       6       9       8       5       10      2       8       
Vardas236               Pavarde236              5       8       7       9       4       2       6       8       8       2       9       3       6       9       2       10      
Vardas237               Pavarde237              8       5       9       7       3       3       5       1       3       5       1       2       6       4       6       8       
Vardas238               Pavarde238              10      8       6       1       6       9       1       4       6       9       1       9       9       5       6       9       
Vardas239               Pavarde239              1       8       3       1       2       10      1       8       6       2       6       3       5       4       10      10      
Vardas240               Pavarde240              10      3       3       2       6       6       8       8       8       10      3       6       10      8       10      1       
Vardas241               Pavarde241              5       9       9       8       10      4       1       5       4       9       6       1       10      8       6       1       
Vardas242               Pavarde242              2       10      3       7       6       10      2       10      1       10      5       1       3       5       6       5       
Vardas243               Pavarde243              10      4       3       10      5       4       3       7       6       7       6       2       8       4       4       7       
Vardas244               Pavarde244              1       4       8       3       6       9       7       5       3       8       6       1       2       10      9       5       
Vardas245               Pavarde245              6       4       4       9       7       7       9       4       5       7       6       2       8       8       8       10      
Vardas246               Pavarde246              8       7       9       4       10      10      10      1       5       8       4       2       2       8       5       10      
Vardas247               Pavarde247              2       6       8       10      4       3       7       10      8       10      9       6       5       5       1       10      
Vardas248               Pavarde248              10      2       10      4       2       1       8       6       5       5       4       8       5       5       1       4       
Vardas249               Pavarde249              4       9       6       5       3       6       9       9       6       4       8       9       2       1       1       5       
Vardas250               Pavarde250              8       4       6       3       3       6       9       9       3       4       8       1       6       6       8       5       
Vardas251               Pavarde251              1       5       6       6       4       7       3       3       6       9       5       9       8       10      3       9       
Vardas252               Pavarde252              1       2       1       2       9       1       2       8       4       9       3       2       4       2       6       8       
Vardas253               Pavarde253              8       2       4       10      1       9       1       4       5       7       10      10      2       1       10      2       
Vardas254               Pavarde254              2       8       5       1       10      5       1       9       7       2       6       10      9       1       7       5       
Vardas255               Pavarde255              9       6       8       8       10      1       8       10      9       10      9       2       7       1       9       8       
Vardas256               Pavarde256              10      6       8       6       4       10      10      5       4       8       5       7       1       2       7       8       
Vardas257               Pavarde257              8       7       10      6       6       3       2       9       3       10      2       6       7       8       5       9       
Vardas258               Pavarde258              5       3       9       4       4       4       4       4       3       10      9       9       10      6       10      2       
Vardas259               Pavarde259              9       1       1       10      7       5       1       3       10      6       8       8       9       3       10      1       
Vardas260               Pavarde260              10      10      10      10      1       4       9       4       5       6       2       8       8       1       2       9       
Vardas261               Pavarde261              4       1       3       3       2       7       3       10      3       9       1       8       5       10      1       4       
Vardas262               Pavarde262              6       10      6       8       10      1       5       6       6       3       4       4       8       2       5       5       
Vardas263               Pavarde263              2       10      9       3       9       5       4       9       5       8       3       7       3       8       3       6       
Vardas264               Pavarde264              4       5       5       10      4       1       8       2       3       10      6       8       4       4       8       1       
Vardas265               Pavarde265              5       5       1       2       7       1       2       3       8       3       3       4       8       4       8       6       
Vardas266               Pavarde266              3       9       2       8       9       9       6       1       9       4       4       9       9       3       1       3       
Vardas267               Pavarde267              4       6       4       10      7       10      7       4       9       1       5       7       1       2       3       5       
Vardas268               Pavarde268              6       10      3       8       9       4       6       3       5       7       8       1       5       3       8       4       
Vardas269               Pavarde269              3       9       6       8       10      9       10      8       2       10      10      4       6       5       10      1       
Vardas270               Pavarde270              4       10      4       10      3       6       5       10      6       1       6       4       10      9       7       2       
Vardas271               Pavarde271              2       3       1       9       9       7       4       10      10      9       9       6       8       4       3       6       
Vardas272               Pavarde272              1       9       4       4       3       9       9       5       5       10      8       9       9       6       10      1       
Vardas273               Pavarde273              6       3       2       5       3       8       5       2       5       5       10      1       7       8       8       1       
Vardas274               Pavarde274              6       9       6       10      4       10      7       8       5       8       1       10      1       5       9       8       
Vardas275               Pavarde275              4       4       9       6       7       5       6       4       2       2       8       1       2       3       10      4       
Vardas276               Pavarde276              9       6       6       6       9       8       5       2       4       7       5       9       10      6       2       5       
Vardas277               Pavarde277              6       5       1       10      7       9       7       10      6       5       9       4       3       1       7       9       
Vardas278               Pavarde278              2       10      9       4       9       6       7       9       5       6       7       9       6       9       10      4       
Vardas279               Pavarde279              8       8       4       2       4       10      4       1       2       4       10      9       9       5       8       4       
Vardas280               Pavarde280              8       8       5       3       5       7       3       3       4       6       3       4       8       10      7       6       
Vardas281               Pavarde281              3       9       1       2       5       10      3       2       3       2       5       1       1       6       5       4       
Vardas282               Pavarde282              10      1       4       6       7       1       1       5       7       8       6       3       6       8       4       10      
Vardas283               Pavarde283              1       3       6       10      7       10      10      5       3       10      10      8       1       10      1       2       
Vardas284               Pavarde284              10      2       6       1       4       6       2       9       9       8       10      6       1       9       2       7       
Vardas285               Pavarde285              5       9       7       3       7       7       6       2       3       6       1       2       2       4       8       6       
Vardas286               Pavarde286              6       9       3       4       2       9       6       1       7       6       3       1       10      9       5       8       
Vardas287               Pavarde287              2       5       2       8       8       3       9       1       4       1       4       7       6       9       4       2       
Vardas288               Pavarde288              9       10      1       2       2       5       8       2       1       1       5       9       8       9       3       6       
Vardas289               Pavarde289              3       2       1       9       5       5       10      1       5       8       9       2       6       7       8       2       
Vardas290               Pavarde290              7       8       6       1       8       1       2       10      7       8       5       8       10      10      7       8       
Vardas291               Pavarde291              7       10      9       4       3       8       8       1       7       1       8       1       10      7       3       1       
Vardas292               Pavarde292              9       8       6       1       3       3       9       5       6       6       3       10      5       6       8       9       
Vardas293               Pavarde293              7       2       4       2       1       7       1       3       5       9       4       6       1       4       5       8       
Vardas294               Pavarde294              7       6       8       7       6       1       1       6       8       3       2       2       6       5       10      2       
Vardas295               Pavarde295              2       9       5       5       3       2       1       3       10      3       7       10      4       2       3       4       
Vardas296               Pavarde296              3       5       4       9       7       5       4       5       4       1       1       7       5       10      10      5       
Vardas297               Pavarde297              8       3       4       1       6       1       2       9       5       7       9       6       10      5       3       6       
Vardas298               Pavarde298              7       8       5       3       1       5       5       9       5       6       2       8       1       4       2       8       
Vardas299               Pavarde299              8       9       6       6       5       1       10      2       7       9       10      10      2       4       7       5       
Vardas300               Pavarde300              5       10      8       10      4       5       9       6       2       4       5       3       10      4       8       9       
